Здание ID,Тип здания,Информация о здании,Кол-во организаций,Организации
234237649,way,{'building': 'yes'},0,
234237650,way,{'building': 'hangar'},0,
234243738,way,{'building': 'hangar'},0,
234243743,way,{'building': 'hangar'},0,
234243751,way,{'building': 'yes'},0,
234243753,way,{'building': 'hangar'},0,
234243757,way,{'building': 'hangar'},0,
242928908,way,{'building': 'yes'},0,
242929193,way,"{'addr:housenumber': '23', 'addr:postcode': '140180', 'addr:street': 'улица Наркомвод', 'building': 'office'}",0,
242931943,way,"{'addr:city': 'Жуковский', 'addr:housenumber': '12/1', 'addr:street': 'улица Наркомвод', 'building': 'yes'}",0,
242931948,way,{'building': 'yes'},0,
242931977,way,{'building': 'yes'},0,
242932695,way,{'building': 'yes'},0,
242932697,way,{'building': 'yes'},0,
314365899,way,{'building': 'yes'},0,
314365900,way,{'building': 'yes'},0,
314365901,way,{'building': 'yes'},0,
314365902,way,{'building': 'yes'},0,
878937570,way,{'building': 'roof'},1,"{'type': 'node', 'id': 8176694057, 'lat': 55.557444, 'lon': 38.1102432, 'tags': {'barrier': 'gate'}}"
878937575,way,{'building': 'yes'},0,
1160957507,way,{'building': 'yes'},0,
132281036,way,"{'addr:housenumber': '22/4', 'addr:postcode': '140180', 'addr:street': 'улица Наркомвод', 'building': 'yes', 'building:levels': '2'}",0,
233340391,way,"{'addr:housenumber': '5', 'addr:street': 'Коммунальный проезд', 'building': 'yes'}",0,
234237057,way,"{'addr:housenumber': '8', 'addr:street': 'улица Наркомвод', 'building': 'yes', 'building:levels': '2'}",0,
234237191,way,"{'addr:housenumber': '1', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
234237278,way,"{'addr:housenumber': '1 с4', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
234237366,way,"{'addr:housenumber': '1 с5', 'addr:street': 'улица Наркомвод', 'building': 'hangar'}",0,
234243750,way,{'building': 'hangar'},0,
242927368,way,{'building': 'yes'},0,
242931947,way,{'building': 'yes'},0,
878937577,way,"{'addr:city': 'Жуковский', 'addr:housenumber': '12', 'addr:postcode': '140180', 'addr:street': 'улица Наркомвод', 'building': 'yes'}",0,
1389256401,way,{'building': 'yes'},0,
305223313,way,{'building': 'yes'},0,
234237192,way,"{'addr:housenumber': '3', 'addr:street': 'улица Наркомвод', 'building': 'yes'}",0,
878937578,way,"{'addr:city': 'Жуковский', 'addr:housenumber': '8', 'addr:postcode': '14080', 'addr:street': 'улица Наркомвод', 'amenity': 'fast_food', 'building': 'retail', 'building:levels': '1', 'cuisine': 'shawarma'}",0,
878937579,way,{'building': 'yes'},0,
878937583,way,{'building': 'yes'},0,
1395246706,way,{'building': 'yes'},0,
1413571069,way,{'building': 'yes'},0,
800522252,way,"{'building': 'yes', 'building:levels': '2'}",0,
786139368,way,{'building': 'house'},0,
786139360,way,{'building': 'house'},0,
786139361,way,{'building': 'house'},0,
786139362,way,{'building': 'house'},0,
786139363,way,{'building': 'house'},0,
786139364,way,{'building': 'house'},0,
786139365,way,{'building': 'house'},0,
786139366,way,"{'addr:housenumber': 'В/27', 'addr:place': 'СНТ Надежда', 'building': 'house'}",0,
786139367,way,{'building': 'house'},0,
786139369,way,{'building': 'house'},0,
1382335752,way,"{'addr:housenumber': '11', 'addr:street': 'улица Авиаторов', 'building': 'yes'}",0,
234405060,way,"{'addr:housenumber': '21', 'addr:street': 'Речной проезд', 'building': 'yes'}",0,
748848995,way,{'building': 'yes'},0,
748848996,way,{'building': 'yes'},0,
748848997,way,"{'addr:housenumber': '19', 'addr:street': 'Речной проезд', 'building': 'yes'}",1,"{'type': 'node', 'id': 2986524308, 'lat': 55.5707164, 'lon': 38.0986827, 'tags': {'addr:housenumber': '21 с6', 'addr:street': 'Речной проезд', 'amenity': 'restaurant', 'contact:email': 'nrbanket@mail.ru', 'contact:phone': '+7 495 5604874', 'contact:website': 'http://restoran-nr.ru', 'name': 'Ново-Рождественно'}}"
748849000,way,{'building': 'yes'},0,
305810415,way,{'building': 'garages'},0,
305811470,way,{'building': 'yes'},0,
706340928,way,"{'addr:housenumber': '9', 'addr:street': 'Речной проезд', 'building': 'yes'}",0,
1385581690,way,{'building': 'yes'},0,
1387150673,way,{'building': 'yes'},0,
1416715944,way,{'building': 'yes'},0,
233219789,way,{'building': 'yes'},0,
234091436,way,"{'addr:housenumber': '15', 'addr:street': 'Речной проезд', 'building': 'yes'}",0,
234405016,way,"{'addr:housenumber': '17', 'addr:street': 'Речной проезд', 'building': 'yes'}",0,
305811159,way,{'building': 'garages'},0,
305811160,way,{'building': 'garages'},0,
305811161,way,{'building': 'garages'},0,
305811162,way,{'building': 'garages'},0,
305811163,way,{'building': 'garages'},0,
305811164,way,{'building': 'garages'},0,
305811165,way,{'building': 'garages'},0,
305811166,way,{'building': 'garages'},0,
305811167,way,{'building': 'garages'},0,
305811168,way,{'building': 'garages'},0,
305811468,way,{'building': 'yes'},0,
305812370,way,"{'building': 'kiosk', 'power': 'substation'}",0,
706340929,way,{'building': 'yes'},0,
748848989,way,{'building': 'yes'},0,
748848991,way,{'building': 'yes'},0,
748848992,way,"{'addr:housenumber': '16', 'addr:street': 'Речной проезд', 'building': 'yes'}",0,
748848994,way,{'building': 'yes'},0,
748848998,way,{'building': 'yes'},0,
748849017,way,{'building': 'yes'},0,
234079052,way,{'building': 'hangar'},0,
234079060,way,{'building': 'hangar'},0,
234079061,way,{'building': 'hangar'},0,
234079064,way,{'building': 'hangar'},0,
234239017,way,{'building': 'yes'},0,
234239023,way,{'building': 'yes'},1,"{'type': 'node', 'id': 3098228971, 'lat': 55.5698193, 'lon': 38.1139391, 'tags': {'contact:email': 'info@poseidon-raki.ru', 'contact:phone': '+7 495 7646103', 'contact:website': 'http://poseidon-raki.ru', 'name': 'ООО ""Посейдон""', 'office': 'company'}}"
236469905,way,{'building': 'hangar'},0,
233224080,way,{'building': 'garages'},0,
236470279,way,{'building': 'hangar'},0,
710001398,way,{'building': 'yes'},0,
1418259166,way,{'building': 'yes'},0,
305810146,way,{'building': 'garages'},0,
305810147,way,{'building': 'garages'},0,
305810148,way,{'building': 'garages'},0,
305810149,way,{'building': 'garages'},0,
305810150,way,{'building': 'garages'},0,
305810151,way,{'building': 'hangar'},0,
305810152,way,{'building': 'garages'},0,
305810153,way,{'building': 'garages'},0,
305810154,way,{'building': 'garages'},0,
305810155,way,{'building': 'garages'},0,
305810156,way,{'building': 'garages'},0,
305810157,way,{'building': 'garages'},0,
305810158,way,{'building': 'garages'},0,
305810159,way,{'building': 'garages'},0,
305810160,way,{'building': 'garages'},0,
305810161,way,{'building': 'garages'},0,
305810162,way,{'building': 'garages'},0,
305810416,way,{'building': 'garages'},0,
305810417,way,{'building': 'garages'},0,
1272967268,way,"{'addr:housenumber': '224', 'addr:place': 'СНТ «Мичуринец»', 'building': 'yes'}",0,
1272967269,way,"{'addr:housenumber': '212', 'addr:place': 'СНТ «Мичуринец»', 'building': 'yes'}",0,
1272967270,way,"{'addr:housenumber': '218', 'addr:place': 'СНТ «Мичуринец»', 'building': 'yes'}",0,
1272967271,way,"{'addr:housenumber': '214', 'addr:place': 'СНТ «Мичуринец»', 'building': 'yes'}",0,
1272967272,way,"{'addr:housenumber': '210', 'addr:place': 'СНТ «Мичуринец»', 'building': 'yes'}",0,
1272967273,way,"{'addr:housenumber': '205', 'addr:place': 'СНТ «Мичуринец»', 'building': 'detached'}",0,
1272967274,way,"{'addr:housenumber': '203', 'addr:place': 'СНТ «Мичуринец»', 'building': 'detached'}",0,
1272967275,way,"{'addr:housenumber': '208', 'addr:place': 'СНТ «Мичуринец»', 'building': 'detached'}",0,
1272967276,way,"{'addr:housenumber': '211', 'addr:place': 'СНТ «Мичуринец»', 'building': 'detached'}",0,
1272967277,way,"{'addr:housenumber': '209', 'addr:place': 'СНТ «Мичуринец»', 'building': 'detached'}",0,
1299356449,way,"{'addr:housenumber': '87', 'addr:place': 'СНТ «Мичуринец»', 'building': 'yes'}",0,
1374943980,way,{'building': 'yes'},0,
1385531670,way,{'building': 'yes'},0,
1389744375,way,{'building': 'yes'},0,
1392653595,way,{'building': 'yes'},0,
1418674692,way,{'building': 'yes'},0,
119305447,way,{'building': 'yes'},0,
119305455,way,{'building': 'yes'},0,
119305463,way,{'building': 'yes'},0,
119305465,way,{'building': 'yes'},0,
119305468,way,{'building': 'yes'},0,
233224070,way,{'building': 'yes'},0,
233224073,way,{'building': 'yes'},0,
233224076,way,"{'addr:housenumber': '4Б', 'addr:street': 'Кооперативная улица', 'building': 'yes'}",0,
233224077,way,{'building': 'yes'},0,
233224084,way,{'building': 'yes'},0,
233224085,way,"{'addr:housenumber': '4А', 'addr:street': 'Кооперативная улица', 'building': 'yes'}",0,
233224086,way,{'building': 'yes'},0,
233224089,way,"{'addr:housenumber': '27', 'addr:postcode': '140185', 'addr:street': 'Кооперативная улица', 'building': 'yes'}",1,"{'type': 'node', 'id': 385948725, 'lat': 55.5746378, 'lon': 38.1138188, 'tags': {'amenity': 'fuel', 'contact:phone': '+7 495 5567247', 'fuel:diesel': 'yes', 'fuel:octane_92': 'yes', 'fuel:octane_98': 'yes', 'name': 'МТР', 'operator': ""ЗАО 'Маттехресурс'"", 'shop': 'convenience'}}"
233224090,way,{'building': 'yes'},0,
233225750,way,"{'addr:housenumber': '3', 'addr:street': 'Речной проезд', 'building': 'yes'}",0,
234079058,way,{'building': 'greenhouse'},0,
237978319,way,"{'addr:housenumber': '6', 'addr:street': 'Кооперативная улица', 'building': 'yes'}",0,
237978336,way,{'building': 'yes'},0,
237978337,way,{'building': 'yes'},0,
237978339,way,{'building': 'yes'},0,
305811467,way,{'building': 'garages'},0,
305811469,way,{'building': 'garages'},0,
305813546,way,{'building': 'garages'},0,
710001393,way,{'building': 'yes'},0,
710001394,way,{'building': 'yes'},0,
710001395,way,{'building': 'yes'},0,
710001396,way,{'building': 'yes'},0,
710001397,way,{'building': 'yes'},0,
710052859,way,"{'addr:housenumber': '38', 'addr:street': 'Кооперативная улица', 'building': 'yes', 'source:addr': 'ЕГРН'}",0,
710052860,way,"{'addr:housenumber': '22', 'addr:street': 'Кооперативная улица', 'building': 'yes', 'source:addr': 'ЕГРН'}",0,
710052861,way,"{'addr:housenumber': '21', 'addr:street': 'Кооперативная улица', 'building': 'yes', 'source:addr': 'ЕГРН'}",0,
710052862,way,"{'addr:housenumber': '18', 'addr:street': 'Кооперативная улица', 'building': 'yes', 'source:addr': 'ЕГРН'}",0,
710052863,way,"{'addr:housenumber': '19', 'addr:street': 'Кооперативная улица', 'building': 'yes', 'source:addr': 'ЕГРН'}",0,
710052864,way,"{'addr:housenumber': '35', 'addr:street': 'Кооперативная улица', 'building': 'yes', 'source:addr': 'ЕГРН'}",0,
748849006,way,{'building': 'garages'},0,
748849007,way,{'building': 'garages'},0,
748849008,way,{'building': 'garages'},0,
748849009,way,{'building': 'garages'},0,
748849010,way,{'building': 'garages'},0,
748849011,way,{'building': 'garages'},0,
748849012,way,{'building': 'garages'},0,
748849013,way,{'building': 'yes'},0,
748849014,way,{'building': 'yes'},1,"{'type': 'node', 'id': 1968287532, 'lat': 55.5734434, 'lon': 38.114006, 'tags': {'service': 'tyres', 'shop': 'car_repair'}}"
1415639442,way,{'building': 'yes'},0,
1417904145,way,{'building': 'yes'},0,
784597540,way,{'building': 'house'},0,
784597541,way,{'building': 'house'},0,
784597542,way,{'building': 'house'},0,
784597543,way,{'building': 'house'},0,
784597544,way,{'building': 'house'},0,
784597545,way,"{'addr:housenumber': '224', 'addr:place': 'СНТ «Быковка»', 'building': 'house'}",0,
784597546,way,{'building': 'house'},0,
784597547,way,{'building': 'house'},0,
784597548,way,{'building': 'house'},0,
784597549,way,{'building': 'house'},0,
784597550,way,{'building': 'house'},0,
784597551,way,{'building': 'house'},0,
784597552,way,{'building': 'house'},0,
784597553,way,{'building': 'house'},0,
784597554,way,{'building': 'house'},0,
784597555,way,{'building': 'house'},0,
784597556,way,{'building': 'house'},0,
784597557,way,{'building': 'house'},0,
784597558,way,{'building': 'house'},0,
784597559,way,{'building': 'house'},0,
784597560,way,{'building': 'house'},0,
784597563,way,{'building': 'house'},0,
784597564,way,{'building': 'house'},0,
784597565,way,{'building': 'house'},0,
784597566,way,{'building': 'house'},0,
784597567,way,{'building': 'house'},0,
784597568,way,{'building': 'house'},0,
784597569,way,{'building': 'house'},0,
784597570,way,{'building': 'house'},0,
784597571,way,{'building': 'house'},0,
784597573,way,{'building': 'house'},0,
784597574,way,{'building': 'house'},0,
784597576,way,{'building': 'house'},0,
1386976658,way,{'building': 'yes'},0,
478386173,way,"{'addr:city': 'Жуковский', 'addr:housenumber': '5', 'addr:street': 'Садовая улица', 'building': 'yes', 'building:levels': '2'}",0,
710273923,way,{'building': 'yes'},0,
710273943,way,{'building': 'house'},0,
710273945,way,{'building': 'house'},0,
710273952,way,{'building': 'house'},0,
784577043,way,{'building': 'house'},0,
784577078,way,{'building': 'house'},0,
784577082,way,{'building': 'house'},0,
784588332,way,{'building': 'house'},0,
784588354,way,{'building': 'house'},0,
784588386,way,"{'addr:housenumber': '478', 'addr:place': 'СНТ «Быковка»', 'building': 'house'}",0,
784588388,way,{'building': 'house'},0,
784588390,way,{'building': 'house'},0,
784590085,way,{'building': 'house'},0,
784590090,way,{'building': 'house'},0,
784590092,way,{'building': 'house'},0,
784597562,way,{'building': 'house'},0,
784597575,way,{'building': 'house'},0,
784597577,way,{'building': 'house'},0,
784831586,way,{'building': 'house'},0,
786144155,way,{'building': 'house'},0,
1415711376,way,{'building': 'yes'},0,
477491963,way,"{'addr:housenumber': 'К16', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478386174,way,"{'addr:housenumber': 'К15', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478386175,way,"{'addr:housenumber': 'К14', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '3'}",0,
478386176,way,"{'addr:housenumber': 'К13', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478386177,way,"{'addr:housenumber': 'К17', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478386178,way,"{'addr:housenumber': 'К18', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478794763,way,"{'addr:housenumber': 'К19', 'addr:street': 'Линия 5', 'building': 'house'}",0,
478794764,way,"{'addr:housenumber': 'Л12', 'addr:street': 'Линия 6', 'building': 'house', 'building:levels': '2'}",0,
478794765,way,"{'addr:housenumber': 'Л13', 'addr:street': 'Линия 6', 'building': 'house', 'building:levels': '2'}",0,
478794766,way,"{'addr:housenumber': 'Л15', 'addr:street': 'Линия 6', 'building': 'house', 'building:levels': '1'}",0,
478794767,way,"{'addr:housenumber': 'Л16', 'addr:street': 'Линия 6', 'building': 'house', 'building:levels': '3'}",0,
478794768,way,"{'addr:housenumber': 'Л17', 'addr:street': 'Линия 6', 'building': 'house', 'building:levels': '2'}",0,
478794769,way,"{'addr:housenumber': 'Л18', 'addr:street': 'Линия 6', 'building': 'house', 'building:levels': '2'}",0,
478794770,way,"{'addr:city': 'Жуковский', 'addr:housenumber': 'К9', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478794771,way,"{'addr:housenumber': 'И12', 'addr:street': 'Линия 5', 'building': 'detached', 'building:levels': '2'}",0,
478794772,way,"{'addr:housenumber': 'И13', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478794773,way,"{'addr:housenumber': 'И14', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478794774,way,"{'addr:housenumber': 'И15', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478794775,way,"{'addr:housenumber': 'И16', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '3'}",0,
478794776,way,"{'addr:housenumber': 'И17', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '1'}",0,
478794777,way,"{'addr:housenumber': 'И18', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
478794778,way,"{'addr:housenumber': 'И19', 'addr:street': 'Линия 5', 'building': 'house', 'building:levels': '2'}",0,
710273981,way,"{'addr:housenumber': 'Б-10', 'addr:place': 'СНТ «Союз-ЦАГИ»', 'building': 'house', 'source:addr': 'ЕГРН'}",0,
784577013,way,{'building': 'house'},0,
784577014,way,{'building': 'house'},0,
784577015,way,{'building': 'house'},0,
784577016,way,{'building': 'house'},0,
784577017,way,{'building': 'house'},0,
784577018,way,{'building': 'house'},0,
784577019,way,{'building': 'house'},0,
784577020,way,{'building': 'house'},0,
784577021,way,{'building': 'house'},0,
784577022,way,{'building': 'house'},0,
784577023,way,{'building': 'house'},0,
784577024,way,{'building': 'house'},0,
784577025,way,{'building': 'house'},0,
784577026,way,{'building': 'house'},0,
784577027,way,{'building': 'house'},0,
784577028,way,{'building': 'house'},0,
784577029,way,{'building': 'house'},0,
784577030,way,{'building': 'house'},0,
784577031,way,{'building': 'house'},0,
784577032,way,{'building': 'house'},0,
784577033,way,{'building': 'house'},0,
784577034,way,"{'addr:housenumber': 'Б/12', 'addr:place': 'СНТ «Союз-ЦАГИ»', 'building': 'house'}",0,
784577035,way,{'building': 'house'},0,
784577040,way,{'building': 'house'},0,
784577041,way,{'building': 'house'},0,
784577044,way,{'building': 'house'},0,
784577045,way,{'building': 'house'},0,
784577046,way,{'building': 'house'},0,
784577047,way,{'building': 'house'},0,
784577048,way,{'building': 'house'},0,
784577049,way,{'building': 'house'},0,
784577050,way,{'building': 'house'},0,
784577051,way,{'building': 'house'},0,
784577052,way,{'building': 'house'},0,
784577053,way,{'building': 'house'},0,
784577054,way,{'building': 'house'},0,
784577055,way,{'building': 'house'},0,
784577056,way,{'building': 'house'},0,
784577057,way,{'building': 'house'},0,
784577058,way,{'building': 'house'},0,
784577076,way,{'building': 'house'},0,
784577077,way,{'building': 'house'},0,
784577079,way,{'building': 'house'},0,
784577080,way,{'building': 'house'},0,
784577081,way,{'building': 'house'},0,
784588331,way,{'building': 'house'},0,
784588333,way,{'building': 'house'},0,
784588334,way,{'building': 'house'},0,
784588335,way,"{'addr:housenumber': '421', 'addr:place': 'СНТ «Быковка»', 'building': 'house'}",0,
784588336,way,{'building': 'house'},0,
784588337,way,{'building': 'house'},0,
784588338,way,{'building': 'house'},0,
784588339,way,{'building': 'house'},0,
784588340,way,{'building': 'house'},0,
784588341,way,{'building': 'house'},0,
784588342,way,{'building': 'house'},0,
784588343,way,{'building': 'house'},0,
784588344,way,{'building': 'house'},0,
784588345,way,{'building': 'house'},0,
784588346,way,{'building': 'house'},0,
784588389,way,{'building': 'house'},0,
784588391,way,{'building': 'house'},0,
784588392,way,{'building': 'house'},0,
784588393,way,{'building': 'house'},0,
784588394,way,{'building': 'house'},0,
784588395,way,{'building': 'house'},0,
784588396,way,{'building': 'house'},0,
784588397,way,{'building': 'house'},0,
784588398,way,{'building': 'house'},0,
784588399,way,{'building': 'house'},0,
784588400,way,{'building': 'house'},0,
784588401,way,{'building': 'house'},0,
784588402,way,{'building': 'house'},0,
784588403,way,{'building': 'house'},0,
784588404,way,{'building': 'house'},0,
784588405,way,{'building': 'house'},0,
784588406,way,{'building': 'house'},0,
784588407,way,{'building': 'house'},0,
784588408,way,{'building': 'house'},0,
784588409,way,{'building': 'house'},0,
784588410,way,{'building': 'house'},0,
784588411,way,{'building': 'house'},0,
784588412,way,{'building': 'house'},0,
784588413,way,{'building': 'house'},0,
784590086,way,{'building': 'house'},0,
784590087,way,{'building': 'house'},0,
784590088,way,{'building': 'house'},0,
784590089,way,{'building': 'house'},0,
784590289,way,{'building': 'house'},0,
784590290,way,{'building': 'house'},0,
786034536,way,{'building': 'house'},0,
786034537,way,{'building': 'house'},0,
786034538,way,{'building': 'house'},0,
786034539,way,{'building': 'house'},0,
786034540,way,{'building': 'house'},0,
786034541,way,{'building': 'house'},0,
786034542,way,"{'addr:housenumber': 'И/45', 'addr:place': 'СНТ ""Союз-ЦАГИ""', 'building': 'house'}",0,
786034543,way,{'building': 'house'},0,
786034544,way,{'building': 'house'},0,
786034545,way,{'building': 'house'},0,
786139352,way,{'building': 'house'},0,
786139353,way,{'building': 'house'},0,
786139354,way,{'building': 'house'},0,
786139355,way,{'building': 'house'},0,
786139356,way,{'building': 'house'},0,
786139357,way,"{'addr:housenumber': 'Г/17', 'addr:place': 'СНТ «Союз-ЦАГИ»', 'building': 'house'}",0,
786139358,way,{'building': 'house'},0,
786139359,way,{'building': 'house'},0,
786139370,way,{'building': 'house'},0,
786139371,way,{'building': 'house'},0,
786139372,way,{'building': 'house'},0,
786139373,way,{'building': 'house'},0,
786139374,way,{'building': 'house'},0,
786139375,way,{'building': 'house'},0,
786139376,way,{'building': 'house'},0,
786139377,way,{'building': 'house'},0,
786139378,way,{'building': 'house'},0,
786139379,way,{'building': 'house'},0,
786139380,way,{'building': 'house'},0,
786139381,way,{'building': 'house'},0,
786144156,way,{'building': 'house'},0,
786144157,way,{'building': 'house'},0,
786144158,way,{'building': 'house'},0,
786144159,way,{'building': 'house'},0,
786144160,way,{'building': 'house'},0,
786144161,way,{'building': 'house'},0,
786144162,way,{'building': 'house'},0,
786144163,way,{'building': 'house'},0,
786144164,way,{'building': 'house'},0,
786144165,way,{'building': 'house'},0,
786144166,way,{'building': 'house'},0,
786144167,way,{'building': 'house'},0,
786144168,way,{'building': 'house'},0,
786144169,way,{'building': 'house'},0,
786144170,way,{'building': 'house'},0,
786144171,way,"{'addr:housenumber': '467', 'addr:place': 'СНТ «Быковка»', 'building': 'house'}",0,
786144172,way,{'building': 'house'},0,
786144173,way,{'building': 'house'},0,
786144174,way,{'building': 'house'},0,
786144175,way,{'building': 'house'},0,
786144176,way,{'building': 'house'},0,
786144177,way,{'building': 'house'},0,
786144178,way,{'building': 'house'},0,
786144179,way,{'building': 'house'},0,
786144180,way,{'building': 'house'},0,
786144181,way,{'building': 'house'},0,
786144182,way,{'building': 'house'},0,
786144183,way,"{'addr:housenumber': 'К24', 'addr:place': 'СНТ «Союз-ЦАГИ»', 'building': 'house'}",0,
786144184,way,"{'addr:housenumber': 'К22', 'addr:place': 'СНТ «Союз-ЦАГИ»', 'building': 'house'}",0,
786144185,way,{'building': 'house'},0,
786144186,way,{'building': 'house'},0,
786144187,way,{'building': 'house'},0,
786144188,way,{'building': 'house'},0,
786144189,way,{'building': 'house'},0,
786144190,way,{'building': 'house'},0,
786144191,way,{'building': 'house'},0,
786144192,way,{'building': 'house'},0,
786144193,way,{'building': 'house'},0,
1299717561,way,{'building': 'yes'},0,
433277924,way,"{'addr:housenumber': '26', 'addr:street': 'Кооперативная улица', 'building': 'industrial', 'source:addr': 'ЕГРН'}",0,
710273916,way,{'building': 'yes'},0,
710273917,way,{'building': 'house'},0,
710273918,way,{'building': 'yes'},0,
710273919,way,{'building': 'yes'},0,
710273920,way,"{'addr:housenumber': '65', 'addr:street': 'Кооперативная улица', 'building': 'yes'}",0,
710273921,way,{'building': 'yes'},0,
710273922,way,{'building': 'yes'},0,
710273924,way,{'building': 'house'},0,
710273925,way,{'building': 'house'},0,
710273926,way,{'building': 'house'},0,
710273927,way,{'building': 'house'},0,
710273928,way,{'building': 'house'},0,
710273929,way,{'building': 'house'},0,
710273930,way,{'building': 'house'},0,
710273931,way,{'building': 'house'},0,
710273932,way,{'building': 'house'},0,
710273933,way,{'building': 'house'},0,
710273934,way,{'building': 'house'},0,
710273935,way,{'building': 'house'},0,
710273936,way,{'building': 'house'},0,
710273941,way,{'building': 'house'},0,
710273942,way,{'building': 'house'},0,
710378023,way,{'building': 'house'},0,
710378024,way,"{'addr:housenumber': '28', 'addr:place': 'СНТ «Быковка»', 'building': 'house'}",0,
710378025,way,{'building': 'house'},0,
710378026,way,"{'addr:housenumber': '29', 'addr:place': 'СНТ «Быковка»', 'building': 'house'}",0,
710378027,way,{'building': 'house'},0,
710378028,way,{'building': 'house'},0,
710378029,way,{'building': 'house'},0,
710378030,way,{'building': 'house'},0,
710378031,way,{'building': 'house'},0,
710378032,way,{'building': 'house'},0,
710378033,way,{'building': 'house'},0,
710378034,way,{'building': 'house'},0,
710378035,way,{'building': 'house'},0,
710378036,way,{'building': 'house'},0,
710378037,way,{'building': 'house'},0,
710378038,way,{'building': 'house'},0,
710378039,way,{'building': 'house'},0,
710378040,way,{'building': 'house'},0,
710378041,way,{'building': 'house'},0,
710378042,way,{'building': 'house'},0,
710378043,way,{'building': 'house'},0,
710378044,way,{'building': 'house'},0,
710378045,way,{'building': 'house'},0,
710378046,way,{'building': 'house'},0,
710378047,way,{'building': 'house'},0,
710378048,way,{'building': 'house'},0,
710378049,way,{'building': 'house'},0,
710378050,way,"{'addr:housenumber': '58', 'addr:street': 'Кооперативная улица', 'building': 'house'}",0,
784577059,way,{'building': 'house'},0,
784577060,way,{'building': 'house'},0,
784577061,way,{'building': 'house'},0,
784577062,way,{'building': 'house'},0,
784577063,way,{'building': 'house'},0,
784577064,way,{'building': 'house'},0,
784577065,way,{'building': 'house'},0,
